[25Jul2025 00:09:54.731] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_userdev_data, --assetIndex, 26, --assetsDir, C:\Users\Fireness\.gradle\caches\forge_gradle\assets, --gameDir, ., --mod, gedrite, --all, --output, D:\IdeaProjects\gedrite-mod\Forge\1.21.6 v2\src\generated\resources, --existing, D:\IdeaProjects\gedrite-mod\Forge\1.21.6 v2\src\main\resources, --mixin.config, gedrite.mixins.json]
[25Jul2025 00:09:54.737] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Oracle Corporation Java HotSpot(TM) 64-Bit Server VM 21.0.6+8-LTS-188
[25Jul2025 00:09:54.738] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.4 starting: java version 21.0.6 by Oracle Corporation; OS Windows 11 arch amd64 version 10.0
[25Jul2025 00:09:54.953] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_userdev_data
[25Jul2025 00:09:55.162] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///C:/Users/Fireness/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.7/8ab114ac385e6dbdad5efafe28aba4df8120915f/mixin-0.8.7.jar!/ Service=ModLauncher Env=UNKNOWN
[25Jul2025 00:09:57.033] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[25Jul2025 00:09:58.422] [main/WARN] [mixin/]: Compatibility level JAVA_17 specified by gedrite.mixins.json is higher than the maximum level supported by this version of mixin (JAVA_13).
[25Jul2025 00:09:58.423] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[25Jul2025 00:09:58.423] [main/ERROR] [mixin/]: Mixin config gedrite.mixins.json does not specify "minVersion" or "requiredFeatures" property
[25Jul2025 00:09:58.429] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_userdev_data' with arguments [--gameDir, ., --assetsDir, C:\Users\Fireness\.gradle\caches\forge_gradle\assets, --assetIndex, 26, --mod, gedrite, --all, --output, D:\IdeaProjects\gedrite-mod\Forge\1.21.6 v2\src\generated\resources, --existing, D:\IdeaProjects\gedrite-mod\Forge\1.21.6 v2\src\main\resources]
[25Jul2025 00:09:58.462] [main/INFO] [mixin/]: Attempting to load Fernflower decompiler (Threaded mode)
[25Jul2025 00:09:58.465] [main/INFO] [mixin/]: Fernflower could not be loaded, exported classes will not be decompiled. NoClassDefFoundError: org/jetbrains/java/decompiler/main/extern/IResultSaver
[25Jul2025 00:09:58.716] [main/INFO] [mixin/]: Preparing mixins for MixinEnvironment[DEFAULT]
[25Jul2025 00:09:58.718] [main/INFO] [mixin/]: Selecting config gedrite.mixins.json
[25Jul2025 00:09:58.733] [main/WARN] [mixin/]: Reference map 'mixins.gedrite.refmap.json' for gedrite.mixins.json could not be read. If this is a development environment you can ignore this message
[25Jul2025 00:09:58.741] [main/INFO] [mixin/]: Preparing gedrite.mixins.json (6)
[25Jul2025 00:09:58.947] [main/WARN] [mixin/]: Mixin environment was unable to detect the current side, sided mixins will not be applied
[25Jul2025 00:09:59.037] [main/INFO] [mixin/]: Prepared 6 mixins in 0.312 sec (52.0ms avg) (0ms load, 0ms transform, 0ms plugin)
[25Jul2025 00:09:59.974] [main/INFO] [mixin/]: Mixing EntityMixin from gedrite.mixins.json into net.minecraft.world.entity.Entity
[25Jul2025 00:09:59.986] [main/WARN] [mixin/]: gedrite.mixins.json:EntityMixin: Class version 65 required is higher than the class version supported by the current version of Mixin (JAVA_17 supports class version 61)
[25Jul2025 00:10:00.485] [main/INFO] [mixin/]: Mixing LivingEntityMixin from gedrite.mixins.json into net.minecraft.world.entity.LivingEntity
[25Jul2025 00:10:00.495] [main/INFO] [mixin/]: Renaming synthetic method lambda$gedrite$baseTick$0(Lnet/minecraft/world/level/material/FluidState;)Z to md41efbc$lambda$gedrite$baseTick$0$0 in gedrite.mixins.json:LivingEntityMixin
[25Jul2025 00:10:02.314] [main/INFO] [mixin/]: Mixing WaterFluidMixin from gedrite.mixins.json into net.minecraft.world.level.material.WaterFluid
[25Jul2025 00:10:02.333] [main/INFO] [mixin/]: Mixing LavaFluidMixin from gedrite.mixins.json into net.minecraft.world.level.material.LavaFluid
[25Jul2025 00:10:07.394] [main/INFO] [mixin/]: Mixing FishingHookMixin from gedrite.mixins.json into net.minecraft.world.entity.projectile.FishingHook
[25Jul2025 00:10:09.423] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:root
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sound_event
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:fluid
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:particle_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:attribute
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:mob_effect
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:enchantment_effect_component_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_score_provider_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_number_provider_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:map_decoration_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_pool_entry_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_nbt_provider_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_function_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:data_component_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:entity_type
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:item
[25Jul2025 00:10:09.424] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:game_event
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:potion
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block_entity_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:stat_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:custom_stat
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:chunk_status
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_test
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_block_entity_modifier
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:pos_rule_test
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:menu
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_serializer
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:position_source_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:command_argument_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_profession
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:point_of_interest_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:memory_module_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sensor_type
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:activity
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:schedule
[25Jul2025 00:10:09.425] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_condition_type
